pid,autonomy,auto_grouped,human_traj_err,robot_traj_err,overall_traj_err,tapping_err_short,tapping_err_long,tapping_err_ave,pupil_diameter,left_index,right_index,pupil_index,tlx_mental,tlx_physical,tlx_hurried,tlx_insecure,tlx_hard,tlx_successful,tlx_ave,mdmt_reliable,mdmt_capable,mdmt_predictable,mdmt_skilled,mdmt_counton,mdmt_competent,mdmt_consistent,mdmt_meticulous,mdmt_reliable_ave,mdmt_capable_ave,mdmt_ave,per_auto,single_trust,order,trust_tech,play_games,play_music,noisy_robot
28,0.8,high,5.899853126015585,2.37542831154358,2.1195925852346096,7.502165933450047,-1.8250517547130376,3.3567358505,3.588629385147597,4.75,5.075,4.9125,9.0,4.0,10.0,7.0,10.0,10.0,8.333333333333334,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.75,2.0,2.375,8,2.0,inc,5,3,2,yes
30,0.8,high,4.315685889536504,2.332877765828073,2.277461994655465,7.147554756866573,11.689128478368144,14.265474566706908,3.338851783446569,4.95,4.725,4.8375,10.0,3.0,12.0,3.0,14.0,3.0,7.5,5.0,7.0,6.0,7.0,5.0,6.0,5.0,6.0,5.25,6.5,5.875,6,4.0,inc,7,2,1,yes
32,0.8,high,3.645982897351743,2.3858158682122923,1.9282139306515425,5.522999564806634,7.380768987867572,6.451884276337105,4.739632492544336,4.325,4.700000000000001,3.8875,11.0,9.0,8.0,8.0,12.0,10.0,9.666666666666666,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.25,2.5,2.375,6,5.0,inc,6,7,1,yes
34,0.8,high,4.507109707176828,2.385909258809267,2.049340277189955,6.478015830119452,4.8248052597046005,5.72655648075,4.670380040993063,5.199999999999999,5.075,5.1375,7.0,9.0,2.0,2.0,6.0,13.0,6.5,2.0,5.0,1.0,7.0,3.0,7.0,5.0,3.7767857142857135,2.75,5.694196428571429,4.222098214285714,8,3.4545454545454546,inc,7,7,1,yes
36,0.8,high,3.708703444094675,2.312402330501985,1.8970389860722872,9.359041253725705,11.148531734943386,10.1543703595,2.6129758394377323,4.7250000000000005,4.625,4.675,4.0,6.0,1.0,2.0,17.0,11.0,6.833333333333333,2.0,4.0,5.0,6.0,2.0,3.0,5.0,3.0,3.5,4.0,3.75,9,3.0,inc,6,5,6,yes
38,0.8,high,5.109513557671085,2.3335632357857623,2.12250580107214,6.552952826023107,4.086644326647128,5.45681571518934,4.023782162070969,4.6,4.125,4.3625,9.0,8.0,15.0,16.0,15.0,16.0,13.166666666666666,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.25,1.5,1.375,10,2.0,inc,4,6,1,yes
40,0.8,high,4.87797044044805,2.385909258809267,1.9928265948851225,5.276359485255358,4.516722841395279,4.8831743350000005,3.3716713226426247,4.706818181818182,4.55,4.1125,4.0,2.0,4.0,8.0,3.0,16.0,6.166666666666667,2.0,6.0,1.0,6.0,1.0,4.0,1.0,3.0,1.25,4.75,3.0,8,2.0,inc,7,3,5,yes
42,0.8,high,4.069135876668208,2.37134572081046,2.09656095243798,7.147554756866573,4.651809160080227,15.227225625249998,5.093377905748016,4.525,4.75,4.6375,2.0,2.0,2.0,2.0,12.0,20.0,6.666666666666667,1.0,3.0,4.0,3.0,1.0,3.0,5.0,4.0,2.75,3.25,3.0,9,3.0,inc,6,3,2,yes
44,0.8,high,3.5221585548440624,2.3328777658280724,1.9147977260486373,9.147001902262442,7.493553459644318,8.32027768095338,3.7625827735755344,4.55,4.475,4.512499999999999,2.0,2.0,2.0,2.0,2.0,7.0,2.833333333333333,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.25,4.0,4.125,4,4.0,inc,6,2,1,yes
46,0.8,high,3.834351951462737,2.3702014652963697,2.04814476514608,3.165407180786133,2.46256947517395,2.9716653727500004,4.269843166717641,4.625,4.825,4.725,10.0,8.0,5.0,13.0,13.0,19.0,11.333333333333334,1.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.25,1.625,7,2.0,inc,3,2,1,yes
